date,RQ1_SQ1,RQ1_SQ2,RQ1_SQ3,RQ1_SQ4,RQ1_SQ5,RQ2_SQ1,RQ2_SQ2,RQ2_SQ3,RQ2_SQ4,RQ2_SQ5,RQ3_SQ1,RQ3_SQ2,RQ3_SQ3,RQ3_SQ4,RQ3_SQ5,RQ4_SQ1,RQ4_SQ2,RQ4_SQ3,RQ4_SQ4,RQ4_SQ5,RQ5_SQ1,RQ5_SQ2,RQ5_SQ3,RQ5_SQ4,RQ5_SQ5
1963-08-23,0.00109330,0.00614025,0.00539070,0.00359080,0.00639860,0.00169185,0.00212370,0.00056330,0.00375890,0.00151995,0.00437000,-0.00007810,0.00501975,0.00439140,0.00398070,0.00280605,0.00018400,0.00551230,0.00173965,0.00516865,0.00083695,0.00428880,0.00266650,0.00384975,0.00396425
1963-08-26,-0.00184395,0.00103535,-0.00068500,0.00199185,0.00110700,0.00228345,0.00132830,0.00555275,-0.00129145,0.00485880,0.00377960,0.00149950,0.00544930,0.00097470,-0.00276985,-0.00063620,0.00193070,0.00177980,0.00740555,0.00134170,0.00399445,0.00279140,-0.00015685,0.00575670,-0.00316910
1963-08-27,-0.00446000,-0.00771765,-0.00002290,-0.00354595,-0.00891850,-0.00014775,-0.00114130,-0.00438995,-0.00311580,-0.00442215,-0.00453450,-0.00330415,0.00002645,-0.00636805,-0.00282640,-0.00337930,-0.00065955,-0.00511210,-0.00273635,-0.00303355,0.00104455,0.00056930,-0.00372775,-0.00268820,-0.00499210
1963-08-28,0.00871585,0.00624655,0.00832280,0.01104600,0.01159655,0.00541355,0.00217485,0.00691940,0.00358700,0.00837005,0.00501395,0.00232525,0.00249935,0.01129950,0.00957770,0.00272785,0.00118845,0.00392040,0.00824015,0.01291330,0.00472650,0.00629910,0.00906120,0.00829970,0.02152115
1963-08-29,0.00753165,0.00848230,0.00439655,0.00464755,0.00120900,0.00177415,-0.00007405,0.00228000,0.00132120,0.00073185,0.00148190,0.00119105,0.00748735,0.00710195,0.00489040,0.00191425,0.00173380,-0.00075815,0.00150905,-0.00306695,0.00186085,-0.00161120,0.00176380,0.00083345,0.00372670
1963-08-30,0.00383665,0.00403690,0.00222390,0.00540030,0.00742365,0.00761645,0.00159145,0.00463505,0.00704835,0.00614490,0.00531935,0.00486555,0.00433270,0.00427980,0.00218025,0.00215430,-0.00015195,0.00112575,0.00260000,0.00578435,0.00192640,0.00198250,0.00734020,0.00217400,0.01068390
1963-09-03,-0.00049010,0.00016620,0.00270435,0.00121940,0.00734760,0.00263630,0.00306135,0.00713840,0.00209275,0.00220035,-0.00304720,0.00386085,0.00656270,0.00192015,0.00169980,0.00608180,0.00095010,0.00299945,0.00449615,0.00103430,-0.00005950,-0.00036255,-0.00119865,-0.00028915,0.00066950
1963-09-04,0.00915180,-0.00382070,0.00440590,0.00005675,0.00267795,0.00244630,0.00429325,-0.00106160,0.00065905,0.00168495,0.00037090,-0.00027075,-0.00205620,-0.00071775,0.00262490,-0.00069605,-0.00004490,0.00465385,-0.00072360,0.00491230,0.00170655,0.00248495,-0.00377670,-0.00368845,-0.00560910
1963-09-05,0.00399340,0.00535125,0.00441495,0.01139120,0.00112170,0.00288630,0.00461650,0.00052970,0.00292695,0.00747400,0.00354870,0.00433995,0.00408990,0.00441675,0.00536205,0.00521205,0.00143870,0.00480685,-0.00095480,-0.00027015,-0.00128335,0.00590140,0.00664130,-0.00357125,0.00248960
1963-09-06,-0.00354530,-0.00314085,-0.00140320,-0.00297375,-0.00779495,-0.00077775,-0.00385210,-0.00327005,-0.00232770,-0.00974635,-0.00401650,-0.00360350,-0.00353315,-0.00195395,-0.00474280,-0.00321920,0.00089365,-0.00454270,-0.00144980,-0.00879875,-0.00536785,-0.00379070,-0.00177545,-0.00134900,-0.01342365
1963-09-09,-0.00673840,-0.00061770,-0.00805870,-0.00598385,-0.00324565,-0.00416625,-0.00376065,-0.00452375,-0.00004655,-0.01006805,-0.00164950,-0.00215775,-0.00181430,-0.00778190,0.00044745,-0.00062260,-0.00348240,-0.00684630,-0.00396620,0.00232930,0.00030145,-0.00399420,-0.00819425,-0.00629305,-0.00751340
