date,factor_TS,factor_PRET,factor_R2
1970-07-06,0.01142980,0.00587610,-0.00214359
1970-07-07,0.00253476,0.00249960,-0.00137189
1970-07-08,-0.02113627,-0.01203620,0.00357327
1970-07-09,-0.01068075,-0.00357789,0.00257570
1970-07-10,-0.00257623,0.00298201,0.00109072
1970-07-13,0.00138104,0.00193643,0.00067284
1970-07-14,0.00522468,0.00288241,0.00070612
1970-07-15,-0.00827189,-0.00542570,-0.00037191
1970-07-16,-0.00760343,-0.00281698,0.00204105
1970-07-17,-0.00944823,-0.00000476,0.00801215
1970-07-20,0.00399208,0.00528625,0.00394544
1970-07-21,0.00862715,0.00536968,-0.00287372
1970-07-22,-0.00309727,-0.00105302,0.00171713
1970-07-23,-0.01116102,-0.00756171,-0.00086876
1970-07-24,0.00336604,0.00369438,0.00371215
1970-07-27,0.00053126,0.00321644,0.00145540
1970-07-28,-0.00913760,-0.00387551,0.00088946
1970-07-29,-0.00385883,-0.00258498,0.00034994
1970-07-30,-0.00111843,-0.00161321,-0.00024587
1970-07-31,0.00326102,0.00436114,0.00166023
1970-08-03,0.01114680,0.00810006,0.00016279
1970-08-04,-0.00251975,-0.00240013,-0.00078723
1970-08-05,0.00316992,0.00312668,-0.00063674
1970-08-06,0.00737584,0.00488647,-0.00047492
1970-08-07,0.00007869,0.00266605,0.00142702
1970-08-10,0.01346005,0.00705878,-0.00138209
1970-08-11,0.00391713,0.00201295,-0.00282401
1970-08-12,0.00199980,0.00348874,-0.00199069
1970-08-13,0.00518940,0.00530342,-0.00239142
1970-08-14,-0.00381702,-0.00246464,-0.00219104
1970-08-17,-0.00183276,-0.00338430,0.00029513
1970-08-18,-0.00919309,-0.00495938,0.00243502
1970-08-19,-0.00653268,-0.00027242,-0.00007832
1970-08-20,-0.00239893,-0.00037029,-0.00111400
1970-08-21,-0.01674495,-0.00982220,0.00852752
1970-08-24,-0.01683546,-0.01195455,0.01849910
1970-08-25,-0.00376582,-0.00622917,0.01300948
1970-08-26,0.00615453,0.00429685,0.01091974
1970-08-27,0.00046139,0.00085514,0.00382020
1970-08-28,-0.00520544,-0.00236653,0.01028719
1970-08-31,0.00792932,0.00427619,0.00239525
1970-09-01,0.00348655,0.00324898,-0.00331536
1970-09-02,-0.00340002,-0.00247617,0.00610980
1970-09-03,-0.00771160,-0.00532157,0.01066757
1970-09-04,-0.00787760,-0.00181155,0.01116907
1970-09-08,-0.00449312,-0.00485427,0.00862889
1970-09-09,0.00751226,0.00246675,0.00156652
1970-09-10,0.00476107,0.00299098,0.00047911
1970-09-11,-0.00059510,0.00495370,0.01220845
1970-09-14,0.00771746,0.00638161,0.00160251
1970-09-15,0.00233832,0.00045254,-0.00612828
1970-09-16,-0.00945021,-0.00492363,0.00612979
1970-09-17,-0.01113288,-0.00409116,0.00598921
1970-09-18,-0.00090200,0.00017183,0.00803453
1970-09-21,0.01281712,0.00772396,-0.00408968
1970-09-22,0.00030646,-0.00051162,-0.00249587
1970-09-23,-0.00846992,-0.00383388,0.00699258
1970-09-24,-0.01638145,-0.00601361,0.01215203
1970-09-25,0.00697360,0.00273136,0.00446150
1970-09-28,-0.00213773,0.00014463,0.00472777
1970-09-29,-0.00005265,0.00165087,0.00936598
1970-09-30,0.00907097,0.00607415,0.00103558
1970-10-01,-0.00045723,-0.00018521,-0.00163929
1970-10-02,-0.00792758,-0.00332128,0.00500868
1970-10-05,-0.00226831,0.00048824,0.00327656
1970-10-06,0.01293581,0.00821326,-0.00151077
1970-10-07,-0.00526563,-0.00203070,0.00003820
1970-10-08,0.00948832,0.00473427,-0.00832137
1970-10-09,0.00216699,-0.00018735,-0.00379228
1970-10-12,0.00490489,0.00049592,-0.00161416
1970-10-13,-0.00732044,-0.00427581,-0.00292061
1970-10-14,-0.00049907,-0.00227766,-0.00062516
1970-10-15,0.00122915,0.00051272,-0.00230758
1970-10-16,0.00839814,0.00389378,-0.00638107
1970-10-19,0.00877268,0.00347321,-0.00684719
1970-10-20,-0.01050446,-0.00730255,0.00449167
1970-10-21,0.00037160,-0.00125576,-0.00452106
1970-10-22,0.00207970,-0.00142593,-0.00423883
1970-10-23,-0.00805120,-0.00841208,0.00006608
1970-10-26,-0.00237896,-0.00496277,-0.00445492
1970-10-27,0.00047079,0.00024767,-0.00405900
1970-10-28,-0.00641664,-0.00529192,0.00275723
1970-10-29,0.00224530,-0.00026777,-0.00468802
1970-10-30,-0.00214018,-0.00311601,-0.00335309
1970-11-02,-0.00273503,-0.00399778,0.00238203
1970-11-03,-0.00112713,-0.00330386,0.00491322
1970-11-04,0.00377869,0.00198691,-0.00315335
1970-11-05,0.00199961,-0.00001144,-0.00065917
1970-11-06,0.00268257,0.00074826,-0.00204355
1970-11-09,-0.00038702,-0.00171793,0.00370694
1970-11-10,-0.00324609,0.00000932,-0.00084976
1970-11-11,0.00634237,0.00480907,0.00065653
1970-11-12,-0.00022094,0.00608987,-0.00170280
1970-11-13,0.00402119,0.00544850,0.00047097
1970-11-16,-0.00703800,-0.00385035,0.00033684
1970-11-17,-0.00301006,-0.00087660,-0.00290503
1970-11-18,-0.00132541,0.00429772,-0.00145188
1970-11-19,-0.00630629,-0.00467759,-0.00108804
1970-11-20,-0.00406791,-0.00795438,0.00048567
1970-11-23,-0.00495618,-0.00121077,-0.00263469
1970-11-24,-0.00270869,-0.00313937,-0.00168428
1970-11-25,-0.00408584,-0.00558537,-0.00223703
1970-11-27,-0.00066310,-0.00469644,0.00086756
1970-11-30,0.01059193,-0.00180248,0.00811175
1970-12-01,0.00300328,0.00257145,-0.00032478
1970-12-02,-0.00465826,-0.00695218,-0.00105416
1970-12-03,0.00447287,0.00444287,0.00122414
1970-12-04,0.00498970,0.00124011,-0.00037949
1970-12-07,-0.00272347,-0.00107422,0.00251208
1970-12-08,-0.00229782,0.00218802,-0.00128622
1970-12-09,-0.00272189,-0.00168088,-0.00063071
1970-12-10,0.00009485,-0.00228042,-0.00101874
1970-12-11,-0.00071174,-0.00005099,0.00051654
1970-12-14,0.00532395,0.00739997,-0.00146579
1970-12-15,-0.00367932,-0.00286993,0.00036894
1970-12-16,-0.00311393,-0.00547632,0.00052190
1970-12-17,-0.00418175,-0.00225991,-0.00017067
1970-12-18,-0.00079069,0.00089003,-0.00289546
1970-12-21,-0.00205448,-0.00097969,-0.00032375
1970-12-22,0.00321667,0.00403986,-0.00178995
1970-12-23,0.00752830,0.00355467,0.00019923
1970-12-24,0.01438569,0.00574446,0.00237973
1970-12-28,0.01348616,0.00788399,-0.00054417
1970-12-29,0.01515481,0.00783265,0.00077440
1970-12-30,0.00386977,0.00444764,-0.00114164
1970-12-31,0.00203021,0.00433861,-0.00103008
1971-01-04,0.00803074,0.00878491,0.00278206
1971-01-05,0.00807034,0.00287067,-0.00018860
1971-01-06,0.01119647,0.00869257,-0.00011420
1971-01-07,0.01014496,0.01077051,-0.00257146
1971-01-08,-0.00012529,0.00254896,-0.00078060
1971-01-11,0.00265632,0.00321258,-0.00006565
1971-01-12,0.00793241,0.00608665,-0.00227694
1971-01-13,0.00083686,0.00095801,-0.00199742
1971-01-14,0.00421800,0.00269299,0.00026106
1971-01-15,0.00214174,0.00321857,-0.00223822
1971-01-18,0.00084896,0.00220922,-0.00076481
1971-01-19,0.00136239,0.00209816,-0.00100536
1971-01-20,-0.00169784,0.00129333,0.00477669
1971-01-21,0.00004664,0.00328087,0.00293200
1971-01-22,0.00388899,0.00507268,-0.00024853
1971-01-25,0.00861334,0.01131353,0.00047523
1971-01-26,0.00165069,0.00586972,-0.00086386
1971-01-27,-0.00146846,-0.00306076,-0.00056848
1971-01-28,0.00011041,0.00246262,0.00212441
1971-01-29,0.00286099,0.00552381,-0.00063310
1971-02-01,0.01022304,0.01316506,-0.00188095
1971-02-02,0.00413447,0.00626802,-0.00545659
1971-02-03,0.00567521,0.00927124,-0.00098799
1971-02-04,-0.00051747,0.00044668,-0.00080694
1971-02-05,0.00048350,0.00390013,-0.00142130
1971-02-08,0.00610259,0.00998066,-0.00028979
1971-02-09,-0.00370697,-0.00339200,-0.00155095
1971-02-10,-0.00009973,-0.00282786,0.00393229
1971-02-11,-0.00325226,-0.00080769,0.00061159
1971-02-12,-0.00340602,0.00349667,-0.00303618
1971-02-16,0.00948940,0.00749113,-0.00436975
1971-02-17,0.00490036,0.00004268,0.00004637
1971-02-18,0.00550282,-0.00201695,0.00130258
1971-02-19,0.00430779,-0.00557758,0.00451799
1971-02-22,0.00036899,-0.00767404,0.00653583
1971-02-23,-0.01160657,-0.00076073,0.00007748
1971-02-24,-0.00826529,0.00352692,-0.00403499
1971-02-25,-0.00032700,-0.00585085,0.00415711
1971-02-26,0.00069609,-0.00222057,0.00160806
1971-03-01,-0.00743977,-0.00332996,0.00222680
1971-03-02,-0.00826668,-0.00436447,0.00131694
1971-03-03,-0.00403721,-0.00221504,0.00116723
1971-03-04,-0.00168270,0.00541806,-0.00438729
1971-03-05,-0.00443127,0.00406008,-0.00407899
1971-03-08,0.00030308,0.00520146,-0.00453648
1971-03-09,0.00207364,0.00499882,-0.00553315
1971-03-10,0.00479245,0.00421125,-0.00264500
