date,RQ1_SQ1,RQ1_SQ2,RQ1_SQ3,RQ1_SQ4,RQ1_SQ5,RQ2_SQ1,RQ2_SQ2,RQ2_SQ3,RQ2_SQ4,RQ2_SQ5,RQ3_SQ1,RQ3_SQ2,RQ3_SQ3,RQ3_SQ4,RQ3_SQ5,RQ4_SQ1,RQ4_SQ2,RQ4_SQ3,RQ4_SQ4,RQ4_SQ5,RQ5_SQ1,RQ5_SQ2,RQ5_SQ3,RQ5_SQ4,RQ5_SQ5
1967-03-31,0.02975072,0.06537653,0.04522147,0.03711870,0.06359673,0.04800600,0.07865503,0.02710343,0.03471226,0.06172642,0.04487645,0.03886249,0.02621107,0.04239465,0.04835622,0.05234458,0.02772338,0.04358731,0.02946138,0.06290028,0.05155264,0.05015458,0.05011382,0.06384440,0.09793253
1967-04-30,0.01201344,0.06022725,0.03439937,0.02518328,0.04032658,0.00580066,0.02253428,0.02281344,0.03195674,0.06192700,0.03714317,0.01352029,0.03168650,0.04230936,0.06547509,0.04528639,0.03099413,0.02070055,0.01666052,0.06961011,0.07815499,0.01408794,0.06767924,0.06044785,0.06954685
1967-05-31,-0.00602110,-0.01646059,-0.03215444,-0.01751930,-0.04557284,-0.05282430,-0.01719069,-0.03531966,-0.01141094,-0.04337341,-0.05227091,-0.02614490,-0.02201960,-0.00335356,-0.00390127,-0.04255883,-0.04182536,-0.01795532,-0.02826818,-0.01381053,-0.03299337,-0.03848695,-0.03266366,-0.06068400,-0.03417320
1967-06-30,0.02162331,0.01067849,0.02234286,0.02532363,0.03640532,0.00867494,0.01919496,0.01938670,0.00614502,0.03223064,0.00746471,0.04349482,0.01549574,0.04312863,0.08706857,0.00200066,-0.00644074,-0.00013903,0.04682487,0.05905633,0.02119623,0.02217612,0.06378936,0.04141702,0.09207125
1967-07-31,0.06012273,0.05432991,0.05001619,0.03902924,0.06201355,0.05602493,0.03437063,0.04001491,0.06501190,0.07387379,0.02179541,0.03950811,0.07240416,0.05064176,0.08699619,0.05113057,0.03492143,0.07399522,0.04505235,0.06359543,0.06711983,0.02407090,0.03635296,0.08202377,0.06750552
1967-08-31,-0.02257911,-0.00599249,-0.00665739,0.00814143,-0.03719631,0.01204637,0.02211994,-0.00590603,0.00038879,-0.01253196,0.00030909,0.00135585,0.00523495,0.01421611,-0.02365236,0.00655672,0.00033493,-0.01527222,0.01972548,-0.02087036,0.02391677,-0.01305550,-0.01130756,-0.01458946,0.00480836
1967-09-30,0.01943855,0.01747256,0.00992598,0.00494152,0.03507348,0.00525713,0.01953715,0.02579831,0.04795867,0.02886778,0.00563508,0.03529592,0.03889797,0.00802273,0.01014500,0.00948362,0.02461811,0.03855451,0.04277553,0.04337107,0.00124482,0.04475859,0.06905955,0.04647147,0.01472196
1967-10-31,-0.08436903,-0.05229608,-0.05425160,-0.04476196,-0.08158436,-0.05742748,-0.04276442,-0.05654624,-0.06004099,-0.05128406,-0.04180871,-0.06890565,-0.04121249,-0.01700995,-0.07225722,-0.04326020,-0.06361868,-0.06013152,-0.04251847,-0.01850121,-0.03952779,-0.00782939,-0.01160719,0.01391252,0.01146779
1967-11-30,0.00107926,0.01891224,-0.00352805,0.00951835,0.02458618,0.04497350,-0.00833791,-0.02529473,-0.00793989,0.00674711,0.00397379,-0.00527666,0.02228756,0.00633120,0.00873670,-0.00348023,0.01455701,0.03456460,0.02739066,-0.01331268,-0.00492777,0.03301058,0.02323929,-0.00476289,0.00876926
1967-12-31,0.03798563,0.03597504,0.03898131,0.03219381,0.03850920,0.04508446,0.02614920,0.05786152,0.03095224,0.02010409,0.02107524,0.02114935,0.02801708,0.02417763,0.02434217,0.04134233,0.00893749,0.04088281,0.02095553,0.04723333,0.02586611,0.02561295,0.04051904,0.05338714,0.07924063
1968-01-31,-0.07853579,0.00759688,-0.01465123,-0.03193398,-0.03123690,-0.01747369,0.00671601,-0.02056263,0.00305105,-0.02852264,-0.03939040,0.01524628,-0.03143690,-0.06381929,-0.06300150,-0.01451639,-0.02692659,-0.04389425,-0.04280586,-0.03080115,-0.02886835,-0.08266966,-0.07407581,-0.04490602,-0.11092514
1968-02-29,-0.05266345,-0.01026524,-0.01570926,-0.00589936,-0.03471687,-0.03197789,-0.03291599,-0.00302823,-0.02287851,-0.01735022,-0.05023438,0.00018311,-0.05109537,-0.04427987,-0.06798408,-0.03864563,-0.03199386,-0.02068167,-0.06344390,-0.08542793,-0.04407478,-0.03619104,-0.05266245,-0.06899881,-0.08297132
1968-03-31,0.00992284,0.00590558,-0.01002149,0.00848096,-0.00476611,-0.03948163,-0.01215871,-0.01185293,0.00275831,0.02434889,-0.01706649,-0.00578808,-0.00775461,0.01165440,-0.00453994,-0.00088752,-0.01428687,-0.01045440,-0.01159098,0.02580039,-0.01378861,-0.00687885,0.03528041,-0.00396332,0.04376840
1968-04-30,0.07746157,0.04380631,0.08960612,0.09758985,0.10533575,0.10583987,0.06365694,0.03108072,0.13578776,0.09192797,0.15262462,0.03684902,0.08731810,0.10849388,0.13641142,0.12471006,0.05908939,0.11811401,0.12306250,0.14300175,0.07899482,0.08002747,0.13609683,0.11442870,0.18890874
1968-05-31,0.01779664,0.00900156,0.01929607,0.01232229,0.04614430,0.02336660,0.01288642,0.02026960,0.05598604,0.06897552,0.03753590,0.01781015,0.02641620,0.04353438,0.06375310,0.04571406,0.01595218,0.01722305,0.03517311,0.05003508,0.02509583,0.02610764,0.04708792,0.03213911,0.08431864
1968-06-30,-0.01267170,0.05399460,0.04285110,0.03420967,-0.00468765,0.01327878,0.02560271,0.06653449,0.03109265,-0.00661391,-0.01573236,0.06359703,0.05128012,0.00381854,-0.04026822,-0.02677904,0.05050008,0.02042102,0.01323263,-0.00451960,0.02261075,0.02611541,-0.00389584,0.01367049,0.01213678
1968-07-31,-0.04391720,-0.00888439,-0.03787570,-0.00712354,-0.03570565,-0.07370767,0.00712694,-0.01399564,-0.01024260,-0.04849463,-0.07023841,-0.01517110,-0.03613068,-0.02826944,-0.00913222,-0.04067506,-0.00830429,-0.01521519,-0.01977971,-0.05008183,-0.01274649,-0.01113288,-0.03781958,-0.04392646,-0.07049103
1968-08-31,0.00992369,0.01127599,0.02077008,0.01303042,0.01116174,0.00460539,-0.00565812,-0.00135761,0.01178556,0.01736322,0.02099589,0.01937727,0.00214301,0.05056454,0.02097663,0.02354465,0.01338298,0.02709999,0.01708416,0.01455870,0.00279406,0.02633624,0.04617132,0.02784479,0.02779204
1968-09-30,0.05419647,0.08146315,0.07190928,0.02555282,0.05718556,0.05519210,0.04895051,0.01975358,0.02477305,0.05783081,0.09669170,0.04631098,0.03082121,0.04835858,0.05606892,0.04754173,0.05798722,0.02994920,0.07653628,0.08172524,0.05595131,0.03967195,0.08153785,0.03040470,0.11053901
1968-10-31,0.01878022,0.02267563,-0.00101591,0.02014767,0.01293397,0.00202035,0.01341756,0.00698813,0.01582174,-0.01594926,0.04035441,0.00695758,0.01089411,0.00616342,0.01776165,0.00048887,0.01833306,0.02058848,0.01807754,-0.01303928,0.02731202,-0.00361503,0.01329021,0.00641107,0.01006088
1968-11-30,0.07911920,0.07132745,0.07202415,0.07599818,0.08524940,0.08259103,0.06138793,0.07648676,0.06617121,0.06488243,0.06895351,0.05858206,0.05790793,0.04641162,0.08097291,0.08632610,0.05358873,0.03447339,0.06332268,0.07805276,0.07008192,0.04845863,0.07301864,0.05230146,0.10538580
1968-12-31,-0.06117604,-0.04782757,-0.02745594,-0.02385013,-0.03313273,-0.01258713,-0.01010773,-0.03238148,-0.01922244,-0.02944566,-0.02369135,-0.01923590,-0.03335436,-0.00449128,-0.02539272,-0.02884326,-0.03785053,-0.01004871,-0.01747198,-0.01819141,-0.01380769,-0.03055263,-0.06071068,-0.05499176,-0.06823525
1969-01-31,-0.02602156,-0.02257714,0.02061879,0.00913672,0.01044799,0.00175436,0.00127815,0.01925447,-0.01097429,0.01237938,0.01979219,-0.01645999,-0.01639988,-0.02380752,-0.02050622,0.00205664,-0.01615751,-0.01986996,-0.01899673,0.01215895,0.01024298,0.00239174,0.00576799,-0.00011432,-0.01453662
1969-02-28,-0.06941232,-0.07279137,-0.05904411,-0.04469364,-0.07913232,-0.04616510,-0.04446377,-0.04449143,-0.09520648,-0.08318214,-0.02699586,-0.06569244,-0.03859780,-0.05415990,-0.11689755,-0.04487101,-0.06127743,-0.05675890,-0.07542174,-0.06960995,-0.06236068,-0.04595741,-0.05887601,-0.07249408,-0.11369521
1969-03-31,0.01233216,0.02342198,0.00664706,0.02871997,0.00490339,-0.01249046,0.01702357,0.00224720,0.04403403,0.03394828,0.00037578,0.00931682,0.01547947,0.02249113,0.02932687,-0.01125520,0.03439406,0.01015039,0.04046542,0.01160649,0.01804298,0.05190033,0.07612215,0.05876256,0.07400062
1969-04-30,0.01099878,0.01866679,0.00438711,0.02778921,0.02048528,0.01362441,0.01527423,0.02153459,0.01752084,0.01026888,0.01287456,0.00013557,0.02215902,0.04380804,0.05174767,0.01839831,-0.00813842,0.01412887,0.00175818,0.02452192,0.00134557,0.02564790,0.03244688,0.01561815,0.07757471
1969-05-31,-0.00016517,-0.00724998,-0.00756235,0.01045995,-0.00733349,-0.02393939,0.02091705,-0.00015902,-0.00618361,-0.00055668,-0.02312734,-0.00169000,0.00799494,0.04501946,0.00913713,-0.01111032,0.00078240,0.00382929,0.00150884,0.00232259,0.02336383,0.01344226,-0.01548359,0.00078616,0.06929265
